title,link,Published_year,Venue_abbr,dataset_names,manual_analysis_type_classificaiton,manual_research_topic_classification
A Mutation-Guided Assessment of Acceleration Approaches for Continuous Integration: An Empirical Study of YourBase,https://doi.org/10.1145/3643991.3644914,2024,MSR,,quantitative,process_management
Learning Off-By-One Mistakes: An Empirical Study,https://doi.org/10.1109/MSR52588.2021.00019,2021,MSR,boundary condition fault dataset (1.6M examples),quantitative,testing_debugging
Does This Apply to Me? An Empirical Study of Technical Context in Stack Overflow,https://doi.org/10.1145/3524842.3528435,2022,MSR,,quantitative,documentation
Not all Dockerfile Smells are the Same: An Empirical Evaluation of Hadolint Writing Practices by Experts,https://doi.org/10.1145/3643991.3644905,2024,MSR,,both,deployment_operation
Does Configuration Encoding Matter in Learning Software Performance? An Empirical Study on Encoding Schemes,https://doi.org/10.1145/3524842.3528431,2022,MSR,,both,other_se
An Empirical Study on Leveraging Images in Automated Bug Report Reproduction,https://doi.org/10.1109/MSR66628.2025.00019,2025,MSR,,both,testing_debugging
An Empirical Study on Maintainable Method Size in Java,https://doi.org/10.1145/3524842.3527975,2022,MSR,,quantitative,maintenance_evolution
Can ChatGPT Support Developers? An Empirical Evaluation of Large Language Models for Code Generation,https://doi.org/10.1145/3643991.3645074,2024,MSR,,both,program_synthesis
Prompting in the Wild: An Empirical Study of Prompt Evolution in Software Repositories,https://doi.org/10.1109/MSR66628.2025.00106,2024,MSR,"prompt changes dataset (1,262 prompt changes across 243 GitHub repositories)",both,maintenance_evolution
Are Latent Vulnerabilities Hidden Gems for Software Vulnerability Prediction? An Empirical Study,https://doi.org/10.1145/3643991.3644919,2024,MSR,latent vulnerable functions dataset,quantitative,testing_debugging
Availability and Usage of Platform-Specific APIs: A First Empirical Study,https://doi.org/10.1145/3643991.3644925,2024,MSR,,quantitative,libraries_ecosystems
How do Machine Learning Projects use Continuous Integration Practices? An Empirical Study on GitHub Actions,https://doi.org/10.1145/3643991.3644915,2024,MSR,,both,process_management
An Empirical Study on the Usage of BERT Models for Code Completion,https://doi.org/10.1109/MSR52588.2021.00024,2021,MSR,,quantitative,program_synthesis
On the Effectiveness of Machine Learning-based Call Graph Pruning: An Empirical Study,https://doi.org/10.1145/3643991.3644897,2024,MSR,NYXCorpus,quantitative,program_analysis
Keep Me Updated: An Empirical Study on Embedded JavaScript Engines in Android Apps,https://doi.org/10.1145/3643991.3644901,2024,MSR,,both,testing_debugging
Mining the ROS ecosystem for Green Architectural Tactics in Robotics and an Empirical Evaluation,https://doi.org/10.1109/MSR52588.2021.00042,2021,MSR,,quantitative,other_se
Can LLMs Generate Higher Quality Code Than Humans? An Empirical Study,https://doi.org/10.1109/MSR66628.2025.00081,2025,MSR,enhanced HumanEval dataset with code quality metrics,quantitative,program_synthesis
On the Evolution of Unused Dependencies in Java Project Releases: An Empirical Study,https://doi.org/10.1109/MSR66628.2025.00059,2025,MSR,,quantitative,libraries_ecosystems
